"Name","Company","State","City","Age","Salary","Location","Url"
"Assoc Dir, Experience Design","DigitasLBi  NEW","MA","Boston","","","Boston, MA","https://www.glassdoor.com/partner/jobListing.htm?pos=101&ao=277848&s=58&guid=0000015feafb8d96943a73be2f1be3c2&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_7ea5d90c&cb=1511475875635&jobListingId=2546620889"
"Senior Software Engineer","Autodesk","MA","Boston","","$92k-$140k","Boston, MA","https://www.glassdoor.com/partner/jobListing.htm?pos=102&ao=214173&s=58&guid=0000015feafb8d96943a73be2f1be3c2&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_c6167ba9&cb=1511475875636&jobListingId=2421047023"
"Research Administrator - Sr","BIDMC","MA","Boston","","","Boston, MA","https://www.glassdoor.com/partner/jobListing.htm?pos=103&ao=141258&s=58&guid=0000015feafb8d96943a73be2f1be3c2&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_49b94ba7&cb=1511475875636&jobListingId=2594663034"
"Senior Director Facilities Research & Strategy","Boston Children's Hospital","MA","Boston","","$127k-$187k","Boston, MA","https://www.glassdoor.com/partner/jobListing.htm?pos=104&ao=104385&s=58&guid=0000015feafb8d96943a73be2f1be3c2&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_210f8d64&cb=1511475875638&jobListingId=2570702794"
"Research Information Scientist Biology (RDR17-10) ","FORMA THERAPEUTICS","MA","Watertown","","","Watertown, MA","https://www.glassdoor.com/partner/jobListing.htm?pos=105&ao=250433&s=58&guid=0000015feafb8d96943a73be2f1be3c2&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&aa=1&ea=1&cs=1_add03e75&cb=1511475875638&jobListingId=2523972054"
"Senior Experience Designer","DigitasLBi","MA","Boston","","","Boston, MA","https://www.glassdoor.com/partner/jobListing.htm?pos=106&ao=277848&s=58&guid=0000015feafb8d96943a73be2f1be3c2&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_0546aedc&cb=1511475875640&jobListingId=2547682236"
"Clinical Research Coordinator","BIDMC","MA","Boston","","$39k-$55k","Boston, MA","https://www.glassdoor.com/partner/jobListing.htm?pos=107&ao=141258&s=58&guid=0000015feafb8d96943a73be2f1be3c2&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_79c80272&cb=1511475875641&jobListingId=2594663569"
"User Researcher","Carbon Black","MA","Waltham","","","Waltham, MA","https://www.glassdoor.com/partner/jobListing.htm?pos=108&ao=278559&s=58&guid=0000015feafb8d96943a73be2f1be3c2&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_984992de&cb=1511475875642&jobListingId=2547321300"
"Product Manager, Clinical Technology Products","Foundation Medicine","MA","Cambridge","","$123k-$174k","Cambridge, MA","https://www.glassdoor.com/partner/jobListing.htm?pos=109&ao=191512&s=58&guid=0000015feafb8d96943a73be2f1be3c2&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_dd21ba0d&cb=1511475875643&jobListingId=2546618032"
"Software Engineer - Analytics Engine (Scala, Spark)","True Fit","MA","Boston","","$73k-$114k","Boston, MA","https://www.glassdoor.com/partner/jobListing.htm?pos=110&ao=189299&s=58&guid=0000015feafb8d96943a73be2f1be3c2&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_375ede93&cb=1511475875644&jobListingId=2594600674"
"Principal User Experience Researcher","Cambridge Consultants","MA","Boston","","$129k-$187k","Boston, MA","https://www.glassdoor.com/partner/jobListing.htm?pos=111&ao=4120&s=58&guid=0000015feafb8d96943a73be2f1be3c2&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_c7506b68&cb=1511475875649&jobListingId=2594236554"
"System Security Researcher","MIT Lincoln Laboratory","MA","Lexington","","$75k-$149k","Lexington, MA","https://www.glassdoor.com/partner/jobListing.htm?pos=112&ao=254031&s=58&guid=0000015feafb8d96943a73be2f1be3c2&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_b7f3b336&cb=1511475875650&jobListingId=2547193389"
"Health Policy Analyst","Mathematica Policy Research","MA","Cambridge","","$53k-$88k","Cambridge, MA","https://www.glassdoor.com/partner/jobListing.htm?pos=113&ao=239871&s=58&guid=0000015feafb8d96943a73be2f1be3c2&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_ca70665c&cb=1511475875651&jobListingId=2501293445"
"User Research Coordinator - 152623","Veritude  NEW","MA","Boston","","","Boston, MA","https://www.glassdoor.com/partner/jobListing.htm?pos=114&ao=154090&s=58&guid=0000015feafb8d96943a73be2f1be3c2&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_cef6e3c2&cb=1511475875652&jobListingId=2546698562"
"Business analyst","Hexaware Technologies, Inc","MA","Boston","","$64k-$89k","Boston, MA","https://www.glassdoor.com/partner/jobListing.htm?pos=115&ao=283198&s=58&guid=0000015feafb8d96943a73be2f1be3c2&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_7bef2a94&cb=1511475875653&jobListingId=2594478117"
"Research Summer Intern","IBM","MA","Boston","","$70k-$113k","Boston, MA","https://www.glassdoor.com/partner/jobListing.htm?pos=116&ao=140152&s=58&guid=0000015feafb8d96943a73be2f1be3c2&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_0d24dcc0&cb=1511475875655&jobListingId=2500743768"
"User Experience Intern","Pearson","MA","Boston","","","Boston, MA","https://www.glassdoor.com/partner/jobListing.htm?pos=117&ao=68087&s=58&guid=0000015feafb8d96943a73be2f1be3c2&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_ba8f6a80&cb=1511475875656&jobListingId=2594940227"
"Design Operations Director","Freeman","MA","Boston","","$93k-$116k","Boston, MA","https://www.glassdoor.com/partner/jobListing.htm?pos=118&ao=216380&s=58&guid=0000015feafb8d96943a73be2f1be3c2&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_6217314a&cb=1511475875657&jobListingId=2594436521"
"Research/Software Engineer","MIT","MA","Cambridge","","$57k-$91k","Cambridge, MA","https://www.glassdoor.com/partner/jobListing.htm?pos=119&ao=4130&s=58&guid=0000015feafb8d96943a73be2f1be3c2&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_30be7bef&cb=1511475875658&jobListingId=2269663768"
"Product Manager, Maternity and Family Benefits and Health","Ovia Health","MA","Boston","","$75k-$108k","Boston, MA","https://www.glassdoor.com/partner/jobListing.htm?pos=120&ao=4120&s=58&guid=0000015feafb8d96943a73be2f1be3c2&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_713f9f74&cb=1511475875660&jobListingId=2547126327"
"Technical Lead - Software Solution Engineering","Cambridge Semantics","MA","Boston","","$68k-$103k","Boston, MA","https://www.glassdoor.com/partner/jobListing.htm?pos=121&ao=4120&s=58&guid=0000015feafb8d96943a73be2f1be3c2&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_0376445c&cb=1511475875661&jobListingId=2523822037"
"UX Designer/Strategist","Create + Conquer","MA","Boston","","$52k-$74k","Boston, MA","https://www.glassdoor.com/partner/jobListing.htm?pos=122&ao=4120&s=58&guid=0000015feafb8d96943a73be2f1be3c2&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&aa=1&ea=1&cs=1_65027b27&cb=1511475875663&jobListingId=1871629427"
"Lead Machine Learning Engineer (Natural Language)","Spotify","MA","Boston","","","Boston, MA","https://www.glassdoor.com/partner/jobListing.htm?pos=123&ao=133232&s=58&guid=0000015feafb8d96943a73be2f1be3c2&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_5c8bfbf8&cb=1511475875664&jobListingId=2236995849"
"Senior Director, Translational Research & Development, Correlative Sciences","Tesaro","MA","Waltham","","$145k-$236k","Waltham, MA","https://www.glassdoor.com/partner/jobListing.htm?pos=124&ao=231048&s=58&guid=0000015feafb8d96943a73be2f1be3c2&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_3c651243&cb=1511475875666&jobListingId=2500716560"
"Associate Director, Investigator Research Operations","US","MA","Boston","","$63k-$82k","Boston, MA","https://www.glassdoor.com/partner/jobListing.htm?pos=125&ao=55774&s=58&guid=0000015feafb8d96943a73be2f1be3c2&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_15721cea&cb=1511475875666&jobListingId=2594778797"
"Product Marketing Manager","Ellevation Education","MA","Boston","","$71k-$103k","Boston, MA","https://www.glassdoor.com/partner/jobListing.htm?pos=126&ao=4341&s=58&guid=0000015feafb8d96943a73be2f1be3c2&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&aa=1&ea=1&cs=1_57b7ac86&cb=1511475875668&jobListingId=2524257198"
