"ID","Name","Company","State","City","Age","Salary","Location","Url"
"2","Athletic Coach - [TENNIS] - [SPRING] - SY","Boston Public Schools Office of Human Capital","MA","Boston","","","Boston, MA","https://www.glassdoor.com/partner/jobListing.htm?pos=102&ao=153662&s=58&guid=00000160c2ef6379a41af3a9c5c8095a&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_1eb14aa7&cb=1515098957032&jobListingId=2627278398"
"3","Office Manager","Scargo Hill Capital","MA","Westwood","","","Westwood, MA","https://www.glassdoor.com/partner/jobListing.htm?pos=103&ao=297164&s=58&guid=00000160c2ef6379a41af3a9c5c8095a&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&aa=1&ea=1&cs=1_1f25cfa9&cb=1515098957033&jobListingId=2404653053"
"4","Athletic Coach - [OUTDOOR TRACK] - [SPRING] - SY","Boston Public Schools Office of Human Capital","MA","Boston","","","Boston, MA","https://www.glassdoor.com/partner/jobListing.htm?pos=104&ao=153662&s=58&guid=00000160c2ef6379a41af3a9c5c8095a&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_f8ec759e&cb=1515098957034&jobListingId=2627278397"
"5","Customer Service Representative, Transportation Services- SY17-18","Boston Public Schools Office of Human Capital","MA","Boston","","","Boston, MA","https://www.glassdoor.com/partner/jobListing.htm?pos=105&ao=153662&s=58&guid=00000160c2ef6379a41af3a9c5c8095a&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_9256df6c&cb=1515098957035&jobListingId=2627278368"
"6","Paraprofessional [Instructional Aide, Kindergarten 1] - [Winship] - (SY17-18)","Boston Public Schools Office of Human Capital","MA","Boston","","","Boston, MA","https://www.glassdoor.com/partner/jobListing.htm?pos=106&ao=153662&s=58&guid=00000160c2ef6379a41af3a9c5c8095a&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_2857ade2&cb=1515098957036&jobListingId=2627232475"
"7","One to One Paraprofessional - Jackson-Mann - SY17-18","Boston Public Schools Office of Human Capital","MA","Boston","","","Boston, MA","https://www.glassdoor.com/partner/jobListing.htm?pos=107&ao=153662&s=58&guid=00000160c2ef6379a41af3a9c5c8095a&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_0df255c9&cb=1515098957037&jobListingId=2627278387"
"8","Athletic Coach - [SOFTBALL] - [SPRING] - SY","Boston Public Schools Office of Human Capital","MA","Boston","","","Boston, MA","https://www.glassdoor.com/partner/jobListing.htm?pos=108&ao=153662&s=58&guid=00000160c2ef6379a41af3a9c5c8095a&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_1322b505&cb=1515098957038&jobListingId=2627277938"
"9","Athletic Coach - [BASEBALL] - [SPRING] - SY","Boston Public Schools Office of Human Capital","MA","Boston","","","Boston, MA","https://www.glassdoor.com/partner/jobListing.htm?pos=109&ao=153662&s=58&guid=00000160c2ef6379a41af3a9c5c8095a&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_9a1c1358&cb=1515098957038&jobListingId=2627278390"
"10","Paraprofessional - Instructional [7-12] - [John D. O'Bryant High School] - [SY17-18]","Boston Public Schools Office of Human Capital","MA","Boston","","","Boston, MA","https://www.glassdoor.com/partner/jobListing.htm?pos=110&ao=153662&s=58&guid=00000160c2ef6379a41af3a9c5c8095a&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_826d2922&cb=1515098957039&jobListingId=2627277879"
"11","Paraprofessional - Instructional Assistant Teacher/Trainee [McKinley Middle School] (SY17-18)","Boston Public Schools Office of Human Capital","MA","Boston","","","Boston, MA","https://www.glassdoor.com/partner/jobListing.htm?pos=111&ao=153662&s=58&guid=00000160c2ef6379a41af3a9c5c8095a&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_7980c1f4&cb=1515098957040&jobListingId=2627277851"
