"ID","Name","Company","State","City","Age","Salary","Location","Url"
"1","Associate/Photographer","Bokeh Signature Shots","MA","Boston","","","Boston, MA","https://www.glassdoor.com/partner/jobListing.htm?pos=101&ao=301988&s=58&guid=00000161152ef812a51a0e940d0ff911&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&aa=1&ea=1&cs=1_48b7f545&cb=1516478857211&jobListingId=2639045831"
"2","Content Marketing Assistant","Lekker Home","MA","Boston","","","Boston, MA","https://www.glassdoor.com/partner/jobListing.htm?pos=102&ao=301203&s=58&guid=00000161152ef812a51a0e940d0ff911&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&aa=1&ea=1&cs=1_b1c6be96&cb=1516478857212&jobListingId=2638037900"
"3","Associate Designer, Production","Wayfair","MA","Boston","","","Boston, MA","https://www.glassdoor.com/partner/jobListing.htm?pos=103&ao=4120&s=58&guid=00000161152ef812a51a0e940d0ff911&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_ad7796b1&cb=1516478857213&jobListingId=2590063966"
"4","Marketing Administrator","Creative Office Pavilion","MA","Boston","","","Boston, MA","https://www.glassdoor.com/partner/jobListing.htm?pos=104&ao=267522&s=58&guid=00000161152ef812a51a0e940d0ff911&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_6e711a98&cb=1516478857214&jobListingId=2637372866"
"9","Marketing Consultant","Rose International","MA","Boston","","","Boston, MA","https://www.glassdoor.com/partner/jobListing.htm?pos=109&ao=4120&s=58&guid=00000161152ef812a51a0e940d0ff911&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_a54414e6&cb=1516478857220&jobListingId=2572336253"
"11","Principal UI Artist","Demiurge Studios","MA","Cambridge","","","Cambridge, MA","https://www.glassdoor.com/partner/jobListing.htm?pos=111&ao=148364&s=58&guid=00000161152ef812a51a0e940d0ff911&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_cff2b0ad&cb=1516478857223&jobListingId=2419379332"
"14","UI / Graphic Designer","Superpedestrian","MA","Cambridge","","","Cambridge, MA","https://www.glassdoor.com/partner/jobListing.htm?pos=114&ao=4341&s=58&guid=00000161152ef812a51a0e940d0ff911&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&aa=1&ea=1&cs=1_d8b2e925&cb=1516478857227&jobListingId=2269229662"
"15","Presentation Designer","InVisionApp","MA","Boston","","","Boston, MA","https://www.glassdoor.com/partner/jobListing.htm?pos=115&ao=269929&s=58&guid=00000161152ef812a51a0e940d0ff911&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_fd7fcec7&cb=1516478857228&jobListingId=2617014575"
"16","Communications Designer","HubSpot  NEW","MA","Cambridge","","","Cambridge, MA","https://www.glassdoor.com/partner/jobListing.htm?pos=116&ao=133351&s=58&guid=00000161152ef812a51a0e940d0ff911&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_3480d7b1&cb=1516478857229&jobListingId=2640054557"
"17","Social Media Specialist/Senior Social Media Specialist","Boston College","MA","Chestnut Hill","","$40k-$62k","Chestnut Hill, MA","https://www.glassdoor.com/partner/jobListing.htm?pos=117&ao=4120&s=58&guid=00000161152ef812a51a0e940d0ff911&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_2a681ead&cb=1516478857230&jobListingId=2641337866"
