"Name","Company","State","City","Salary","Location","Url"
"Principal User Experience Researcher","Cambridge Consultants","MA","Boston","$129k-$187k","Boston, MA","https://www.glassdoor.com/partner/jobListing.htm?pos=101&ao=4120&s=58&guid=0000015feabab9cfaa5efeb477752449&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_93e8df24&cb=1511471627323&jobListingId=2594236554"
"User Experience Research","Liberty Mutual","MA","Boston","$88k-$130k","Boston, MA","https://www.glassdoor.com/partner/jobListing.htm?pos=102&ao=180609&s=58&guid=0000015feabab9cfaa5efeb477752449&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_9476e37a&cb=1511471627324&jobListingId=2559606286"
"User Experience Researcher","Google","MA","Cambridge","$94k-$133k","Cambridge, MA","https://www.glassdoor.com/partner/jobListing.htm?pos=103&ao=191997&s=58&guid=0000015feabab9cfaa5efeb477752449&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_77f858c1&cb=1511471627326&jobListingId=2585149004"
"Market Research Account Director","Chadwick Martin Bailey","MA","Boston","$94k-$147k","Boston, MA","https://www.glassdoor.com/partner/jobListing.htm?pos=104&ao=262822&s=58&guid=0000015feabab9cfaa5efeb477752449&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&aa=1&ea=1&cs=1_083ff0d1&cb=1511471627327&jobListingId=2302860143"
"Senior User Experience Researcher","Pearson Education Services","MA","Boston","$98k-$140k","Boston, MA","https://www.glassdoor.com/partner/jobListing.htm?pos=105&ao=3839&s=58&guid=0000015feabab9cfaa5efeb477752449&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_f517a332&cb=1511471627329&jobListingId=2518667517"
"User Experience Researcher (Associate)","Pearson","MA","Boston","$81k-$118k","Boston, MA","https://www.glassdoor.com/partner/jobListing.htm?pos=106&ao=4120&s=58&guid=0000015feabab9cfaa5efeb477752449&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_a4339eb4&cb=1511471627330&jobListingId=2573883857"
"Research Information Scientist Biology (RDR17-10) ","FORMA THERAPEUTICS","MA","Watertown","","Watertown, MA","https://www.glassdoor.com/partner/jobListing.htm?pos=107&ao=250433&s=58&guid=0000015feabab9cfaa5efeb477752449&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&aa=1&ea=1&cs=1_5e396c25&cb=1511471627332&jobListingId=2523972054"
"Senior User Experience Researcher","Pearson","MA","Boston","$84k-$121k","Boston, MA","https://www.glassdoor.com/partner/jobListing.htm?pos=108&ao=4120&s=58&guid=0000015feabab9cfaa5efeb477752449&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_fdf61876&cb=1511471627332&jobListingId=2573883806"
"Metallurgical Research Scientist","Markforged","MA","Watertown","$68k-$98k","Watertown, MA","https://www.glassdoor.com/partner/jobListing.htm?pos=109&ao=273286&s=58&guid=0000015feabab9cfaa5efeb477752449&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_3c8b67c9&cb=1511471627335&jobListingId=2569847357"
"User Experience Researcher","The KOHL Group, Inc.","MA","Waltham","$72k-$108k","Waltham, MA","https://www.glassdoor.com/partner/jobListing.htm?pos=110&ao=85058&s=58&guid=0000015feabab9cfaa5efeb477752449&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_c10c9e68&cb=1511471627336&jobListingId=2584722985"
"Associate Market Researcher","Chadwick Martin Bailey","MA","Boston","$44k-$73k","Boston, MA","https://www.glassdoor.com/partner/jobListing.htm?pos=111&ao=262822&s=58&guid=0000015feabab9cfaa5efeb477752449&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&aa=1&ea=1&cs=1_687d636b&cb=1511471627337&jobListingId=2531804518"
"Research Administrator - Sr","BIDMC","MA","Boston","","Boston, MA","https://www.glassdoor.com/partner/jobListing.htm?pos=112&ao=141258&s=58&guid=0000015feabab9cfaa5efeb477752449&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_4b70888e&cb=1511471627339&jobListingId=2594663034"
"Director Health Economics, Outcomes Research (HEOR) and Value Demonstration","Sage Therapeutics","MA","Cambridge","$73k-$124k","Cambridge, MA","https://www.glassdoor.com/partner/jobListing.htm?pos=113&ao=203596&s=58&guid=0000015feabab9cfaa5efeb477752449&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_9e1268ee&cb=1511471627340&jobListingId=2414419386"
"CityScope User Experience Researcher","MIT","MA","Cambridge","$93k-$136k","Cambridge, MA","https://www.glassdoor.com/partner/jobListing.htm?pos=114&ao=4130&s=58&guid=0000015feabab9cfaa5efeb477752449&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_af69608b&cb=1511471627341&jobListingId=2456156678"
"Clinical Research Coordinator","BIDMC","MA","Boston","$39k-$55k","Boston, MA","https://www.glassdoor.com/partner/jobListing.htm?pos=115&ao=141258&s=58&guid=0000015feabab9cfaa5efeb477752449&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_ba85279b&cb=1511471627343&jobListingId=2594663569"
"User Experience Research Intern","Constant Contact","MA","Waltham","$72k-$105k","Waltham, MA","https://www.glassdoor.com/partner/jobListing.htm?pos=116&ao=133343&s=58&guid=0000015feabab9cfaa5efeb477752449&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_bef47a4b&cb=1511471627344&jobListingId=2575688792"
"Project Manager, Research Informatics","Jounce Therapeutics","MA","Cambridge","$91k-$125k","Cambridge, MA","https://www.glassdoor.com/partner/jobListing.htm?pos=117&ao=205399&s=58&guid=0000015feabab9cfaa5efeb477752449&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_4bca6c1e&cb=1511471627346&jobListingId=2583900163"
"Clinical Research Associate II/ Clinical Site Manager II","PAREXEL","MA","Boston","$59k-$84k","Boston, MA","https://www.glassdoor.com/partner/jobListing.htm?pos=118&ao=77057&s=58&guid=0000015feabab9cfaa5efeb477752449&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_90d50472&cb=1511471627347&jobListingId=2569411779"
"Senior Director, Translational Research & Development, Correlative Sciences","Tesaro","MA","Waltham","$145k-$236k","Waltham, MA","https://www.glassdoor.com/partner/jobListing.htm?pos=119&ao=231048&s=58&guid=0000015feabab9cfaa5efeb477752449&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_24f530ac&cb=1511471627348&jobListingId=2500716560"
"Senior User Experience Researcher","athenahealth","MA","Watertown","$102k-$143k","Watertown, MA","https://www.glassdoor.com/partner/jobListing.htm?pos=120&ao=133406&s=58&guid=0000015feabab9cfaa5efeb477752449&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_22388eac&cb=1511471627349&jobListingId=2511123212"
"Clinical Research Associate II/ Clinical Site Manager II - Southeast","PAREXEL","MA","Boston","$59k-$84k","Boston, MA","https://www.glassdoor.com/partner/jobListing.htm?pos=121&ao=77057&s=58&guid=0000015feabab9cfaa5efeb477752449&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_d988f5d8&cb=1511471627350&jobListingId=2569411738"
"User Experience Research Intern","Endurance International Group","MA","Waltham","$57k-$86k","Waltham, MA","https://www.glassdoor.com/partner/jobListing.htm?pos=122&ao=4120&s=58&guid=0000015feabab9cfaa5efeb477752449&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_fc1323b0&cb=1511471627351&jobListingId=2575798244"
"Principal Scientist, Exploratory Research","Sage Therapeutics  HOT","MA","Cambridge","","Cambridge, MA","https://www.glassdoor.com/partner/jobListing.htm?pos=123&ao=203600&s=58&guid=0000015feabab9cfaa5efeb477752449&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_76c5c205&cb=1511471627353&jobListingId=2517340875"
"User Researcher","Carbon Black","MA","Waltham","","Waltham, MA","https://www.glassdoor.com/partner/jobListing.htm?pos=124&ao=278559&s=58&guid=0000015feabab9cfaa5efeb477752449&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_fc55512b&cb=1511471627354&jobListingId=2547321300"
"Senior Director Facilities Research & Strategy","Boston Children's Hospital","MA","Boston","$127k-$187k","Boston, MA","https://www.glassdoor.com/partner/jobListing.htm?pos=125&ao=104385&s=58&guid=0000015feabab9cfaa5efeb477752449&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_fa9013d1&cb=1511471627359&jobListingId=2570702794"
"Research Specialist- Microscopy","Howard Hughes Medical Institute","MA","Boston","$62k-$92k","Boston, MA","https://www.glassdoor.com/partner/jobListing.htm?pos=126&ao=260798&s=58&guid=0000015feabab9cfaa5efeb477752449&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_06f511cc&cb=1511471627361&jobListingId=2494836168"
"System Security Researcher","MIT Lincoln Laboratory","MA","Lexington","$75k-$149k","Lexington, MA","https://www.glassdoor.com/partner/jobListing.htm?pos=127&ao=254031&s=58&guid=0000015feabab9cfaa5efeb477752449&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_5cc85a3a&cb=1511471627363&jobListingId=2547193389"
"User Researcher","Spotify  HOT","MA","Boston","","Boston, MA","https://www.glassdoor.com/partner/jobListing.htm?pos=128&ao=265073&s=58&guid=0000015feabab9cfaa5efeb477752449&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_0e10b68c&cb=1511471627364&jobListingId=2492956436"
"Clinical Research Assistant I","BIDMC","MA","Boston","$30k-$40k","Boston, MA","https://www.glassdoor.com/partner/jobListing.htm?pos=129&ao=141258&s=58&guid=0000015feabab9cfaa5efeb477752449&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_9327c9cb&cb=1511471627365&jobListingId=2588604457"
